index,X1,X2,X3,X4,X5
1,10.26883357,10.33574857,9.948878777,9.455467852,10.70965508
2,10.91694251,9.396256539,9.879276479,10.01627873,10.14579219
3,8.870576569,10.35861933,10.15960337,10.27626351,10.09890553
4,10.43108666,10.81511764,10.1564293,10.55030511,10.79384954
5,10.15938262,10.24444689,9.567560041,10.77210595,9.597767022
6,9.346155852,10.5173465,9.984974352,10.04296557,10.34831221
7,9.783203989,10.36344257,9.91756049,9.254204845,10.41754408
8,10.17131223,9.848279538,10.31385364,9.628849081,9.87814243
9,11.78919847,10.14693573,10.54663283,9.469209133,10.10783504
10,11.38471851,9.606358598,10.55463665,11.17522861,9.417078034
11,9.32505653,10.44419782,9.568173589,9.692199059,9.426023611
12,11.51746173,9.426464947,10.03867955,10.37403839,10.05243736
13,10.36270211,9.465564771,9.392941478,9.903790745,10.36112702
14,9.968472563,9.595250653,9.443249629,10.44430521,11.29274563
15,10.35737145,8.527857919,9.996575336,9.617575382,9.666554665
16,9.897516971,10.71919015,10.76631515,9.298865515,10.09366551
17,9.937927826,10.16259527,9.615167043,9.288812037,9.958752787
18,10.7448488,9.62253584,10.18568941,10.24409695,9.033488541
19,10.70451724,10.68514927,9.887207799,9.911312422,9.780516923
20,10.70859621,9.144241791,10.55867807,9.901973256,9.102660579
21,10.42018776,8.930822365,11.45400402,9.823075001,10.0114449
22,9.555983959,9.580205626,10.41260945,9.588206737,9.869002283
23,10.05004642,10.67729716,10.68948599,9.211471489,9.124893816
24,9.727735535,9.463922356,9.470909871,10.25398733,9.857174514
25,10.1517604,10.48047693,9.765692209,10.14099203,9.584316744
26,9.699836719,10.0620249,9.863765295,10.01673994,9.510396847
27,10.24498266,10.71834831,10.54921231,9.333161028,9.421799172
28,10.36968156,9.01955,9.861064034,10.56374614,9.733221445
29,10.85594389,9.901150887,10.35077073,10.17508971,8.998682132
30,9.902938232,9.396077257,8.97409185,9.850466985,10.48211471
31,11.26003005,10.8531232,10.33399779,10.31915276,10.9023894
32,10.98998607,10.57603688,9.835066422,11.22751478,10.89119682
33,10.98261446,10.43993585,10.27545135,10.57564531,10.84844619
34,10.60091821,12.26299985,11.16675542,10.83255653,11.01152281
35,11.50934264,11.8277488,11.1956768,11.27639167,11.02564518
36,10.93339126,11.15376758,11.22583971,11.51954533,11.4130314
37,10.64273492,10.37144082,10.93485767,10.44118066,11.76348834
38,11.67569288,10.56726598,11.09184455,11.63032935,11.23345722
39,10.88761447,10.91173294,10.76192349,11.33007157,10.89514333
40,10.70548548,11.39570803,11.43101081,10.96606722,11.31259518
